code,text,parentCode
3402,芜湖市,34
3403,蚌埠市,34
3404,淮南市,34
3405,马鞍山市,34
3406,淮北市,34
3407,铜陵市,34
3408,安庆市,34
3410,黄山市,34
3411,滁州市,34
3412,阜阳市,34
3413,宿州市,34
3415,六安市,34
3416,亳州市,34
3417,池州市,34
3418,宣城市,34
3501,福州市,35
3502,厦门市,35
3503,莆田市,35
3504,三明市,35
3505,泉州市,35
3506,漳州市,35
3507,南平市,35
3508,龙岩市,35
3509,宁德市,35
3601,南昌市,36
3602,景德镇市,36
3603,萍乡市,36
3604,九江市,36
3605,新余市,36
3606,鹰潭市,36
3607,赣州市,36
3608,吉安市,36
3609,宜春市,36
3610,抚州市,36
3611,上饶市,36
3701,济南市,37
3702,青岛市,37
3703,淄博市,37
3704,枣庄市,37
3705,东营市,37
3706,烟台市,37
3707,潍坊市,37
3708,济宁市,37
3709,泰安市,37
3710,威海市,37
3711,日照市,37
3713,临沂市,37
3714,德州市,37
3715,聊城市,37
3716,滨州市,37
3717,菏泽市,37
4101,郑州市,41
4102,开封市,41
4103,洛阳市,41
4104,平顶山市,41
4105,安阳市,41
4106,鹤壁市,41
4107,新乡市,41
4108,焦作市,41
4109,濮阳市,41
4110,许昌市,41
4111,漯河市,41
4112,三门峡市,41
4113,南阳市,41
4114,商丘市,41
4115,信阳市,41
4116,周口市,41
4117,驻马店市,41
419001,济源市,41
4201,武汉市,42
4202,黄石市,42
4203,十堰市,42
4205,宜昌市,42
4206,襄阳市,42
4207,鄂州市,42
4208,荆门市,42
4209,孝感市,42
4210,荆州市,42
4211,黄冈市,42
4212,咸宁市,42
4213,随州市,42
4228,恩施土家族苗族自治州,42
429004,仙桃市,42
429005,潜江市,42
429006,天门市,42
429021,神农架林区,42
4301,长沙市,43
4302,株洲市,43
4303,湘潭市,43
4304,衡阳市,43
4305,邵阳市,43
4306,岳阳市,43
4307,常德市,43
4308,张家界市,43
4309,益阳市,43
4310,郴州市,43
4311,永州市,43
4312,怀化市,43
4313,娄底市,43
4331,湘西土家族苗族自治州,43
4401,广州市,44
4402,韶关市,44
4403,深圳市,44
4404,珠海市,44
4405,汕头市,44
4406,佛山市,44
4407,江门市,44
4408,湛江市,44
4409,茂名市,44
4412,肇庆市,44
4413,惠州市,44
4414,梅州市,44
4415,汕尾市,44
4416,河源市,44
4417,阳江市,44
4418,清远市,44
4419,东莞市,44
4420,中山市,44
4451,潮州市,44
4452,揭阳市,44
4453,云浮市,44
4501,南宁市,45
4502,柳州市,45
4503,桂林市,45
4504,梧州市,45
4505,北海市,45
4506,防城港市,45
4507,钦州市,45
4508,贵港市,45
4509,玉林市,45
4510,百色市,45
4511,贺州市,45
4512,河池市,45
4513,来宾市,45
4514,崇左市,45
4601,海口市,46
4602,三亚市,46
4603,三沙市,46
4604,儋州市,46
469001,五指山市,46
469002,琼海市,46
469005,文昌市,46
469006,万宁市,46
469007,东方市,46
469021,定安县,46
469022,屯昌县,46
469023,澄迈县,46
469024,临高县,46
469025,白沙黎族自治县,46
469026,昌江黎族自治县,46
469027,乐东黎族自治县,46
469028,陵水黎族自治县,46
469029,保亭黎族苗族自治县,46
469030,琼中黎族苗族自治县,46
500101,万州区,50
500102,涪陵区,50
500103,渝中区,50
500104,大渡口区,50
500105,江北区,50
500106,沙坪坝区,50
500107,九龙坡区,50
500108,南岸区,50
500109,北碚区,50
500110,綦江区,50
500111,大足区,50
500112,渝北区,50
500113,巴南区,50
500114,黔江区,50
500115,长寿区,50
500116,江津区,50
500117,合川区,50
500118,永川区,50
500119,南川区,50
500120,璧山区,50
500151,铜梁区,50
500152,潼南区,50
500153,荣昌区,50
500154,开州区,50
500155,梁平区,50
500156,武隆区,50
500229,城口县,50
500230,丰都县,50
500231,垫江县,50
500233,忠县,50
500235,云阳县,50
500236,奉节县,50
500237,巫山县,50
500238,巫溪县,50
500240,石柱土家族自治县,50
500241,秀山土家族苗族自治县,50
500242,酉阳土家族苗族自治县,50
500243,彭水苗族土家族自治县,50
5101,成都市,51
5103,自贡市,51
5104,攀枝花市,51
5105,泸州市,51
5106,德阳市,51
5107,绵阳市,51
5108,广元市,51
5109,遂宁市,51
5110,内江市,51
5111,乐山市,51
5113,南充市,51
5114,眉山市,51
5115,宜宾市,51
5116,广安市,51
5117,达州市,51
5118,雅安市,51
5119,巴中市,51
5120,资阳市,51
5132,阿坝藏族羌族自治州,51
5133,甘孜藏族自治州,51
5134,凉山彝族自治州,51
5201,贵阳市,52
5202,六盘水市,52
5203,遵义市,52
5204,安顺市,52
5205,毕节市,52
5206,铜仁市,52
5223,黔西南布依族苗族自治州,52
5226,黔东南苗族侗族自治州,52
5227,黔南布依族苗族自治州,52
5301,昆明市,53
5303,曲靖市,53
5304,玉溪市,53
5305,保山市,53
5306,昭通市,53
5307,丽江市,53
5308,普洱市,53
5309,临沧市,53
5323,楚雄彝族自治州,53
5325,红河哈尼族彝族自治州,53
5326,文山壮族苗族自治州,53
5328,西双版纳傣族自治州,53
5329,大理白族自治州,53
5331,德宏傣族景颇族自治州,53
5333,怒江傈僳族自治州,53
5334,迪庆藏族自治州,53
5401,拉萨市,54
5402,日喀则市,54
5403,昌都市,54
5404,林芝市,54
5405,山南市,54
5406,那曲市,54
5425,阿里地区,54
6101,西安市,61
6102,铜川市,61
6103,宝鸡市,61
6104,咸阳市,61
6105,渭南市,61
6106,延安市,61
6107,汉中市,61
6108,榆林市,61
6109,安康市,61
6110,商洛市,61
6201,兰州市,62
6202,嘉峪关市,62
6203,金昌市,62
6204,白银市,62
6205,天水市,62
6206,武威市,62
6207,张掖市,62
6208,平凉市,62
6209,酒泉市,62
6210,庆阳市,62
6211,定西市,62
6212,陇南市,62
6229,临夏回族自治州,62
6230,甘南藏族自治州,62
6301,西宁市,63
6302,海东市,63
6322,海北藏族自治州,63
6323,黄南藏族自治州,63
6325,海南藏族自治州,63
6326,果洛藏族自治州,63
6327,玉树藏族自治州,63
6328,海西蒙古族藏族自治州,63
6401,银川市,64
6402,石嘴山市,64
6403,吴忠市,64
6404,固原市,64
6405,中卫市,64
6501,乌鲁木齐市,65
6502,克拉玛依市,65
6504,吐鲁番市,65
6505,哈密市,65
6523,昌吉回族自治州,65
6527,博尔塔拉蒙古自治州,65
6528,巴音郭楞蒙古自治州,65
6529,阿克苏地区,65
6530,克孜勒苏柯尔克孜自治州,65
6531,喀什地区,65
6532,和田地区,65
6540,伊犁哈萨克自治州,65
6542,塔城地区,65
6543,阿勒泰地区,65
659001,石河子市,65
659002,阿拉尔市,65
659003,图木舒克市,65
659004,五家渠市,65
659005,北屯市,65
659006,铁门关市,65
659007,双河市,65
659008,可克达拉市,65
659009,昆玉市,65
659010,胡杨河市,65
7101,台湾省,71
710101,金门,7101
710102,连江,7101
710103,苗栗,7101
710104,南投,7101
710105,澎湖,7101
710106,屏东,7101
710107,台东,7101
710108,台中,7101
710109,台南,7101
710110,台北,7101
710111,桃园,7101
710112,云林,7101
710113,新北,7101
710114,彰化,7101
710115,嘉义,7101
710116,新竹,7101
710117,花莲,7101
710118,宜兰,7101
710119,高雄,7101
710120,基隆,7101
8101,香港特别行政区,81
810101,中西区,8101
810102,东区,8101
810103,九龙城区,8101
810104,观塘区,8101
810105,深水埗区,8101
810106,湾仔区,8101
810107,黄大仙区,8101
810108,油尖旺区,8101
810109,离岛区,8101
810110,葵青区,8101
810111,北区,8101
810112,西贡区,8101
810113,沙田区,8101
810114,屯门区,8101
810115,大埔区,8101
810116,荃湾区,8101
810117,元朗区,8101
810118,香港,8101
810119,九龙,8101
810120,新界,8101
8201,澳门特别行政区,82
820101,离岛,8201
820102,澳门半岛,8201
820103,凼仔,8201
820104,路凼城,8201
820105,路环,8201
